[2025-07-12 15:55:11,118] INFO django.server "GET /admin/api/department/add/?_to_field=department_id&_popup=1 HTTP/1.1" 200 5073
[2025-07-12 15:55:11,140] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-07-12 15:55:21,356] INFO django.server "POST /admin/api/department/add/?_to_field=department_id&_popup=1 HTTP/1.1" 200 334
[2025-07-12 15:55:21,372] INFO django.server "GET /static/admin/js/popup_response.js HTTP/1.1" 200 532
[2025-07-12 15:55:25,968] INFO django.server "POST /admin/api/subject/add/ HTTP/1.1" 302 0
[2025-07-12 15:55:25,987] INFO django.server "GET /admin/api/subject/ HTTP/1.1" 200 18583
[2025-07-12 15:55:26,013] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-07-12 15:55:26,024] INFO django.server "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[2025-07-12 15:55:32,507] INFO django.server "GET /admin/api/practice/ HTTP/1.1" 200 16731
[2025-07-12 15:55:32,535] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-07-12 15:55:33,757] INFO django.server "GET /admin/api/practice/add/ HTTP/1.1" 200 32084
[2025-07-12 15:55:33,784] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-07-12 15:55:36,831] INFO django.server "GET /admin/api/employerprofile/add/?_to_field=employer_id&_popup=1 HTTP/1.1" 200 9447
[2025-07-12 15:55:36,856] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-07-12 15:56:04,456] INFO django.server "POST /admin/api/employerprofile/add/?_to_field=employer_id&_popup=1 HTTP/1.1" 200 334
[2025-07-12 15:56:06,573] INFO django.server "GET /admin/api/practice/ HTTP/1.1" 200 16731
[2025-07-12 15:56:06,599] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-07-12 15:56:07,413] INFO django.server "GET /admin/api/practice/add/ HTTP/1.1" 200 32125
